,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,Assets
2124,5,1,1,7100000,15500000,4,474,0,48400000
2125,4,1,1,4900000,10200000,18,370,0,33400000
2126,4,1,0,5600000,20300000,20,596,1,36600000
2127,4,1,0,3400000,8300000,2,567,1,20500000
2128,3,0,0,4500000,16100000,16,671,1,32300000
2129,2,1,0,300000,800000,18,819,1,1900000
2130,5,0,1,7600000,23000000,10,829,1,35300000
2131,5,1,0,500000,1200000,12,454,0,3200000
2132,0,1,1,5900000,15200000,16,399,0,37100000
2133,0,1,0,7100000,20700000,10,784,1,57400000
2134,2,0,1,8500000,26900000,6,538,0,63800000
2135,0,1,1,6400000,16900000,16,759,1,41600000
2136,2,1,0,7100000,21400000,12,699,1,52200000
2137,5,0,0,1800000,5400000,14,347,0,11700000
2138,3,0,1,6600000,25200000,20,598,1,46000000
2139,4,1,1,8800000,27100000,2,406,1,54400000
2140,2,0,0,4800000,15800000,20,860,1,23500000
2141,5,1,1,4400000,16500000,10,806,1,21900000
2142,0,0,0,2000000,6900000,2,448,1,15200000
2143,2,1,0,6800000,22600000,20,393,0,32800000
2144,5,0,1,6600000,16000000,12,811,1,37800000
2145,2,1,0,3300000,7900000,20,829,1,22700000
2146,3,0,0,7400000,23400000,16,700,1,51900000
2147,0,0,1,4500000,12400000,18,719,1,22800000
2148,1,0,1,9500000,30500000,12,430,0,54700000
2149,1,1,0,800000,3000000,4,338,1,4900000
2150,2,1,0,4000000,13000000,4,695,1,33000000
2151,2,0,0,7000000,25700000,18,374,0,36500000
2152,3,1,0,3500000,8500000,18,609,1,22500000
2153,3,1,1,9700000,36000000,6,631,1,45000000
2154,0,0,0,3400000,10800000,6,439,0,20200000
2155,1,1,1,4600000,13500000,20,837,1,27700000
2156,4,1,0,3800000,10400000,10,833,1,28300000
2157,4,0,1,4200000,9600000,20,863,1,20800000
2158,2,1,0,2500000,8700000,4,684,1,12900000
2159,0,0,1,7000000,24600000,6,542,0,38200000
2160,1,0,0,5300000,11500000,8,753,1,31600000
2161,0,0,0,6400000,14200000,2,512,0,37400000
2162,3,0,0,3400000,8100000,12,385,0,24800000
2163,4,0,0,6700000,18800000,2,749,1,52000000
2164,1,0,1,4600000,10100000,4,618,1,19500000
2165,4,1,1,900000,2500000,4,583,1,5000000
2166,0,1,0,5100000,19900000,18,655,1,28600000
2167,0,0,1,7000000,20900000,20,380,0,49900000
2168,3,1,1,4100000,14700000,6,679,1,26400000
2169,2,1,0,4600000,14800000,6,410,0,41600000
2170,2,1,1,3600000,11500000,8,590,1,20700000
2171,5,1,0,5900000,13800000,14,397,0,36400000
2172,2,1,0,600000,2100000,16,425,0,4000000
2173,0,1,0,4900000,16400000,2,383,1,27600000
2174,5,1,1,6400000,23900000,6,406,0,56800000
2175,2,1,0,7000000,19800000,10,563,1,44100000
2176,3,1,1,6700000,13400000,14,782,1,44300000
2177,1,0,1,800000,2200000,4,852,1,4300000
2178,5,0,0,7600000,27800000,2,753,1,55500000
2179,5,1,1,3200000,7600000,4,489,0,20400000
2180,2,0,1,4900000,13800000,2,586,1,28200000
2181,3,0,0,7200000,20800000,16,560,1,37500000
2182,3,1,0,5600000,20600000,6,487,0,40400000
2183,4,1,1,7300000,18300000,8,434,0,46400000
2184,4,0,0,3300000,7000000,20,504,0,21200000
2185,2,1,1,9200000,25300000,4,827,1,72100000
2186,3,0,1,8100000,23300000,20,657,1,52900000
2187,5,1,0,6600000,21400000,10,447,0,50400000
2188,0,1,1,4200000,13600000,4,834,1,27200000
2189,2,1,0,5800000,21700000,8,354,0,33800000
2190,2,1,1,5600000,21000000,18,883,1,38300000
2191,0,0,1,3600000,9900000,12,641,1,24500000
2192,1,1,1,7700000,16900000,6,621,1,68100000
2193,0,1,1,7800000,23300000,10,587,1,59000000
2194,3,0,0,5700000,15400000,16,424,0,29700000
2195,5,1,0,6300000,20500000,14,515,0,35300000
2196,5,0,1,2300000,4700000,18,592,1,14500000
2197,4,1,1,9600000,19900000,6,319,0,54400000
2198,1,0,1,1000000,3900000,16,360,0,5500000
2199,5,1,1,7200000,27100000,12,535,0,54100000
2200,2,0,1,3800000,11400000,16,666,1,23200000
2201,4,0,1,9300000,24600000,16,419,0,49900000
2202,2,0,1,7200000,21900000,12,640,1,29800000
2203,0,1,0,7600000,19700000,12,545,0,46300000
2204,4,1,0,4500000,15300000,10,843,1,33100000
2205,1,0,1,9900000,30900000,20,559,1,68900000
2206,0,0,1,700000,2000000,18,650,1,5000000
2207,0,1,0,3500000,12300000,16,479,0,28300000
2208,1,1,1,300000,1000000,14,324,0,1400000
2209,5,0,1,5400000,16700000,2,354,1,30100000
2210,4,0,1,2800000,8400000,10,521,0,15500000
2211,5,0,1,4900000,15900000,8,505,0,38300000
2212,4,0,0,600000,1700000,12,436,0,2800000
2213,0,1,0,3000000,8100000,6,683,1,21500000
2214,0,1,0,1800000,5800000,18,348,0,11300000
2215,4,1,1,5100000,15700000,6,867,1,42300000
2216,5,1,0,1400000,4100000,14,880,1,10400000
2217,2,1,1,6700000,25500000,10,673,1,49800000
2218,3,0,0,4300000,12600000,18,482,0,29500000
2219,3,1,1,7800000,19600000,4,767,1,56800000
2220,3,0,0,5400000,15800000,18,760,1,38600000
2221,0,0,0,500000,1900000,2,857,1,3700000
2222,1,1,0,8600000,26700000,10,735,1,52800000
2223,3,1,0,2500000,9300000,4,810,1,19100000
2224,4,0,0,3000000,7200000,2,680,1,15600000
2225,5,0,1,7000000,26900000,4,889,1,35400000
2226,1,0,1,400000,1500000,16,688,1,2100000
2227,5,0,0,5200000,13700000,16,531,0,31900000
2228,3,1,0,3300000,11100000,2,660,1,27000000
2229,1,0,1,2400000,8800000,18,414,0,15400000
2230,4,1,1,5800000,15800000,14,528,0,36500000
2231,4,0,1,9400000,20000000,12,817,1,47600000
2232,2,0,0,6100000,15300000,2,799,1,35700000
2233,1,1,1,7500000,21400000,20,655,1,59500000
2234,2,0,0,4100000,16200000,6,546,0,25400000
2235,3,0,0,8500000,30800000,14,745,1,45800000
2236,0,1,0,4300000,16900000,8,884,1,27600000
2237,5,0,0,9300000,22000000,4,822,1,67200000
2238,4,0,0,6000000,18700000,2,623,1,33100000
2239,1,0,1,5300000,18900000,16,361,0,22700000
2240,5,0,1,7400000,16200000,2,778,1,48300000
2241,1,0,1,1100000,3800000,8,779,1,8000000
2242,1,1,1,6600000,20700000,4,594,1,40300000
2243,3,1,0,8200000,28300000,2,530,1,57800000
2244,3,0,0,3300000,9300000,12,324,0,17400000
2245,4,1,1,2500000,9000000,10,394,0,19000000
2246,3,1,1,3300000,10400000,12,816,1,30100000
2247,5,0,0,1000000,2300000,16,423,0,6700000
2248,5,1,1,6200000,12800000,2,539,0,42500000
2249,1,1,0,7000000,21000000,20,554,1,43700000
2250,2,1,1,7000000,19000000,6,523,0,49900000
2251,1,0,1,5300000,12000000,10,852,1,34700000
2252,0,0,1,1800000,3700000,2,505,0,12200000
2253,0,1,1,2300000,7900000,10,430,0,19400000
2254,2,1,0,4000000,9200000,16,784,1,21700000
2255,1,0,0,8900000,24000000,6,380,0,59100000
2256,3,1,0,8000000,18600000,20,565,1,42100000
2257,4,1,1,7900000,26900000,14,446,0,49900000
2258,5,1,1,6700000,20200000,8,406,0,34200000
2259,4,0,0,2400000,6000000,6,712,1,16200000
2260,4,0,0,8600000,22600000,14,729,1,48900000
2261,1,0,1,5300000,14600000,20,508,0,35600000
2262,0,1,0,7400000,24900000,20,648,1,44500000
2263,0,0,1,8700000,18700000,10,346,0,41900000
2264,5,1,0,8200000,18500000,4,394,0,53800000
2265,0,0,1,3700000,9700000,12,501,0,23000000
2266,5,0,1,9200000,36300000,2,655,1,45100000
2267,4,0,0,6100000,20900000,4,662,1,44600000
2268,2,1,1,8800000,30800000,20,820,1,44100000
2269,5,0,0,9200000,18900000,10,521,0,53100000
2270,3,1,0,7200000,27900000,12,473,0,66400000
2271,1,1,0,600000,1200000,10,561,1,3200000
2272,5,1,0,8000000,23100000,20,461,0,44800000
2273,4,1,1,6900000,13800000,16,715,1,37300000
2274,0,0,1,4300000,15600000,18,440,0,22200000
2275,3,0,1,8500000,24900000,18,749,1,52600000
2276,4,0,0,8600000,17400000,2,787,1,51300000
2277,3,1,0,6300000,13900000,18,748,1,56800000
2278,3,0,1,5800000,13600000,12,321,0,30700000
2279,3,1,1,1000000,2300000,10,303,0,4900000
2280,0,0,1,1700000,5400000,8,682,1,9400000
2281,2,0,0,3200000,8600000,18,638,1,18000000
2282,0,1,1,7500000,16600000,14,440,0,66100000
2283,1,0,1,2000000,6600000,10,873,1,10300000
2284,3,0,0,9100000,19700000,20,437,0,56600000
2285,4,1,1,8400000,19700000,8,796,1,55000000
2286,4,1,0,7100000,27200000,16,824,1,36700000
2287,2,0,0,200000,800000,6,338,0,600000
2288,0,0,1,5000000,14900000,12,575,1,33200000
2289,0,0,1,4500000,16900000,8,773,1,33100000
2290,2,0,1,5100000,19700000,2,733,1,23600000
2291,3,1,1,4100000,10600000,14,475,0,28100000
2292,1,0,0,7200000,15000000,10,677,1,43100000
2293,3,0,0,7800000,17700000,6,403,0,51000000
2294,3,1,1,7500000,25300000,12,767,1,53000000
2295,3,1,1,6400000,21000000,2,813,1,39700000
2296,4,1,0,7000000,25700000,20,597,1,71000000
2297,4,0,1,9000000,31100000,8,896,1,48000000
2298,2,0,1,4400000,13900000,6,810,1,37600000
2299,2,0,0,900000,2000000,14,337,0,4400000
2300,1,1,0,9800000,26900000,18,792,1,67100000
2301,4,0,0,600000,1600000,6,784,1,2800000
2302,5,1,1,9700000,30100000,12,434,0,65400000
2303,2,1,1,8400000,32600000,10,384,0,44100000
2304,1,1,0,8300000,24900000,10,642,1,54300000
2305,4,1,0,7900000,29900000,8,314,0,60700000
2306,1,0,0,8600000,25900000,2,606,1,63500000
2307,5,0,1,6700000,17600000,14,843,1,38000000
2308,0,1,0,2700000,7400000,10,778,1,16000000
2309,0,0,0,6600000,25600000,8,718,1,55500000
2310,1,1,1,7100000,20800000,20,437,0,50400000
2311,5,1,1,300000,700000,10,586,1,1500000
2312,2,1,0,2200000,7000000,6,777,1,14200000
2313,1,1,1,8700000,31700000,12,525,0,54400000
2314,4,1,0,7200000,23100000,12,632,1,36900000
2315,0,0,0,2000000,4800000,20,337,0,10700000
2316,4,1,1,8600000,27900000,8,458,0,69900000
2317,2,1,1,2300000,5400000,8,364,0,14000000
2318,2,0,1,9600000,29800000,16,499,0,74000000
2319,2,1,1,1900000,6500000,16,887,1,9400000
2320,1,1,0,2100000,6300000,16,882,1,16700000
2321,1,0,1,3900000,8700000,8,817,1,16200000
2322,5,0,1,200000,300000,10,704,1,1600000
2323,1,0,1,1900000,4500000,12,742,1,8800000
2324,0,0,1,3200000,11600000,4,393,1,16100000
2325,0,0,0,1100000,4300000,18,828,1,5300000
2326,5,1,1,8000000,21500000,12,779,1,57900000
2327,4,1,1,6100000,21700000,6,860,1,34500000
2328,5,1,0,3200000,10600000,2,432,1,25100000
2329,4,1,1,9000000,30400000,20,532,0,72000000
2330,0,0,1,1200000,3200000,2,678,1,6800000
2331,3,1,0,7900000,27000000,6,601,1,64600000
2332,3,1,1,7700000,23100000,8,807,1,40100000
2333,2,0,0,4400000,16500000,16,879,1,31000000
2334,1,0,0,3100000,11200000,18,665,1,21900000
2335,5,0,1,2600000,9300000,16,697,1,17700000
2336,4,1,0,5500000,21700000,14,867,1,32000000
2337,1,1,0,5700000,15500000,8,544,0,47100000
2338,5,1,0,6100000,20700000,20,482,0,34200000
2339,2,1,0,8200000,22500000,18,857,1,64500000
2340,1,1,0,6000000,21200000,12,549,0,49200000
2341,1,1,1,8000000,30600000,10,720,1,66800000
2342,4,0,0,2000000,4800000,8,302,0,8900000
2343,5,1,1,1300000,2900000,12,669,1,7800000
2344,1,1,0,7000000,27100000,6,591,1,45300000
2345,3,1,0,4100000,15300000,6,440,0,22800000
2346,3,1,0,8000000,26200000,16,890,1,49100000
2347,4,0,0,8100000,28000000,8,663,1,51600000
2348,4,1,1,9500000,22600000,14,433,0,47400000
2349,0,1,0,9200000,22500000,10,317,0,70800000
2350,2,1,0,3900000,14700000,16,360,0,14000000
2351,1,1,0,9100000,26200000,8,727,1,64600000
2352,3,1,1,3000000,8300000,4,685,1,23400000
2353,4,1,0,2000000,4300000,8,373,0,14600000
2354,5,1,0,6300000,14600000,8,469,0,51700000
2355,3,0,1,4100000,10900000,8,548,0,31500000
2356,0,0,0,9800000,29400000,20,618,1,57900000
2357,2,1,0,5200000,15400000,8,658,1,24700000
2358,3,1,0,7600000,28700000,18,781,1,71300000
2359,3,0,0,9200000,35500000,2,715,1,54400000
2360,5,0,0,2200000,8100000,4,409,0,7600000
2361,2,0,1,8300000,20600000,10,504,0,40900000
2362,3,1,1,6100000,21600000,16,428,0,31300000
2363,2,1,0,4500000,16600000,20,704,1,29900000
2364,3,0,0,6600000,18800000,12,834,1,46600000
2365,4,0,0,8900000,34900000,14,694,1,47900000
2366,4,1,1,3900000,13300000,20,453,0,27300000
2367,3,1,1,8900000,35400000,14,404,0,62300000
2368,5,0,0,6400000,22300000,12,776,1,39500000
2369,1,0,1,9500000,28700000,16,526,0,67900000
2370,3,1,1,300000,1000000,8,641,1,2200000
2371,5,0,0,4100000,12300000,6,582,1,34600000
2372,2,1,0,8100000,20800000,18,778,1,46900000
2373,4,1,0,9900000,28400000,10,763,1,78000000
2374,0,0,0,4800000,19000000,12,650,1,28400000
2375,0,1,1,2900000,9700000,2,820,1,21300000
2376,1,0,1,3500000,13500000,12,824,1,28000000
2377,1,0,1,4900000,12600000,4,718,1,34700000
2378,2,0,1,5100000,13300000,14,313,0,35700000
2379,5,1,0,7300000,26200000,10,751,1,50700000
2380,0,1,1,200000,300000,18,520,0,1100000
2381,2,1,0,1400000,4700000,4,355,1,8500000
2382,3,1,1,8700000,33600000,14,314,0,45600000
2383,1,0,1,2800000,5900000,20,728,1,15900000
2384,3,1,1,9100000,30100000,14,564,1,64800000
2385,0,0,1,6800000,15300000,14,699,1,44700000
2386,0,0,1,5000000,17000000,6,624,1,34200000
2387,0,1,1,4400000,16800000,14,795,1,33400000
2388,5,0,1,8400000,18600000,20,703,1,47900000
2389,4,1,0,7800000,17300000,4,394,0,48200000
2390,4,1,1,4800000,9900000,14,779,1,36000000
2391,1,1,0,3200000,8800000,4,405,0,17700000
2392,5,1,1,2300000,6700000,16,612,1,20800000
2393,5,0,1,9200000,28100000,10,448,0,69500000
2394,2,0,1,4700000,13700000,6,506,0,29400000
2395,0,0,1,8000000,30400000,2,776,1,54900000
2396,1,1,1,2600000,8600000,6,730,1,12800000
2397,3,0,0,200000,800000,20,730,1,1000000
2398,5,1,0,7300000,17200000,2,345,0,42600000
2399,4,0,0,3300000,11800000,2,847,1,25300000
2400,4,0,0,8300000,23300000,20,398,0,57000000
2401,5,0,1,4100000,9600000,2,307,0,28200000
2402,1,0,0,7300000,23700000,16,852,1,47300000
2403,1,0,0,9300000,27500000,6,364,0,62100000
2404,2,1,1,4300000,15200000,12,552,1,23000000
2405,3,0,0,2600000,8100000,2,421,1,16000000
2406,5,1,0,2900000,9800000,12,588,1,17900000
2407,2,1,1,900000,3500000,6,763,1,5200000
2408,3,0,1,4900000,17500000,20,823,1,40400000
2409,0,1,0,7700000,24800000,10,642,1,59400000
2410,1,1,0,4700000,16800000,12,647,1,32700000
2411,5,0,0,3000000,8900000,20,886,1,17000000
2412,4,0,0,9700000,26200000,4,518,0,62700000
2413,0,1,1,6900000,26800000,20,515,0,38300000
2414,2,0,1,3800000,12400000,8,340,0,16700000
2415,3,0,1,600000,1700000,14,521,0,3300000
2416,2,0,1,1200000,2900000,12,330,0,6400000
2417,4,0,1,7800000,26800000,2,474,1,44100000
2418,0,0,0,9000000,35100000,6,898,1,46500000
2419,1,0,0,2800000,9100000,12,436,0,15500000
2420,1,0,0,7800000,21300000,10,326,0,56500000
2421,4,1,1,4700000,9500000,18,876,1,40500000
2422,2,1,0,4600000,17500000,20,597,1,35700000
2423,4,1,0,5100000,16100000,14,436,0,33900000
2424,3,0,1,6100000,22800000,18,640,1,49700000
2425,0,0,0,6000000,22900000,16,302,0,43500000
2426,2,0,0,8400000,23200000,16,476,0,47900000
2427,2,1,0,9300000,22000000,14,393,0,50400000
2428,0,1,0,4200000,10300000,10,506,0,32200000
2429,3,1,0,9600000,37800000,10,418,0,58400000
2430,3,1,0,5600000,13400000,6,865,1,42900000
2431,4,1,0,7800000,28600000,2,703,1,52900000
2432,2,1,1,4500000,12600000,2,568,1,31500000
2433,3,1,0,2400000,5900000,2,425,0,11500000
2434,0,0,0,3900000,11300000,12,305,0,21800000
2435,5,1,1,9600000,20600000,6,456,0,61600000
2436,4,0,0,900000,2600000,2,602,1,5600000
2437,3,1,1,1100000,3800000,20,814,1,7200000
2438,4,0,0,6400000,24900000,2,640,1,40700000
2439,2,1,0,4600000,15000000,4,817,1,29200000
2440,4,1,0,7600000,29800000,20,361,0,40800000
2441,5,0,0,6800000,20100000,14,839,1,25600000
2442,5,1,0,7100000,27000000,20,592,1,42500000
2443,4,0,1,6700000,24700000,6,498,0,40800000
2444,5,0,1,5800000,12400000,6,847,1,35800000
2445,0,1,1,8600000,29400000,16,643,1,60400000
2446,0,1,1,3500000,10600000,4,389,1,24700000
2447,2,1,1,4800000,17500000,20,381,0,27700000
2448,5,1,1,6100000,14400000,16,400,0,41400000
2449,5,1,1,5200000,12700000,16,718,1,37100000
2450,5,0,1,4100000,12400000,8,309,0,25500000
2451,5,0,0,3200000,7400000,2,838,1,18900000
2452,3,0,1,7500000,21600000,14,678,1,52200000
2453,2,0,1,1500000,4500000,14,826,1,11100000
2454,4,1,1,1200000,3100000,16,348,0,8600000
2455,1,1,1,8400000,19700000,6,476,0,85100000
2456,0,0,1,7900000,26300000,8,666,1,44000000
2457,1,1,1,2100000,4300000,20,896,1,12200000
2458,2,1,0,2500000,7000000,20,547,0,9500000
2459,2,0,1,3700000,13900000,2,405,1,23700000
2460,5,1,0,1100000,4000000,16,498,0,3500000
2461,5,1,0,6500000,24800000,8,779,1,41100000
2462,0,0,1,8200000,31500000,8,403,0,45400000
2463,2,0,0,5000000,12400000,8,709,1,35600000
2464,1,0,0,1500000,6000000,6,507,0,12000000
2465,5,0,0,3700000,9100000,18,368,0,17500000
2466,3,1,1,4100000,14600000,16,760,1,29200000
2467,2,0,0,7200000,16800000,6,796,1,36900000
2468,1,1,0,2000000,5000000,6,876,1,10700000
2469,3,0,0,2000000,4700000,14,673,1,11600000
2470,1,1,1,5100000,11500000,4,747,1,35000000
2471,1,0,0,6000000,13600000,12,589,1,29000000
2472,1,1,0,4900000,18100000,8,382,0,31900000
2473,3,0,1,900000,2300000,12,900,1,5700000
2474,1,1,1,7500000,25000000,18,628,1,32100000
2475,2,1,0,6400000,25000000,12,667,1,49900000
2476,2,1,1,8700000,26400000,2,778,1,50000000
2477,4,1,1,7300000,17200000,18,831,1,51000000
2478,5,1,0,7400000,27100000,4,320,1,69000000
2479,2,1,0,2700000,9300000,16,656,1,20200000
2480,3,1,0,3400000,8900000,6,896,1,23400000
2481,3,0,1,2100000,7400000,4,320,1,14500000
2482,2,0,0,3100000,10500000,10,751,1,22000000
2483,5,0,0,4700000,17400000,2,523,1,33700000
2484,5,1,0,3100000,10500000,6,584,1,23600000
2485,2,0,0,5700000,20400000,2,630,1,31600000
2486,3,1,1,2300000,8000000,14,472,0,17200000
2487,0,0,1,6600000,18500000,16,802,1,47200000
2488,2,1,1,2700000,6400000,18,547,0,17600000
2489,1,0,1,800000,2800000,16,726,1,7600000
2490,1,1,0,6600000,18500000,8,712,1,37500000
2491,3,1,0,3900000,10700000,6,790,1,27700000
2492,5,0,0,200000,600000,16,396,0,700000
2493,3,1,0,2000000,4200000,6,831,1,11100000
2494,2,1,1,9100000,20900000,20,632,1,47800000
2495,3,1,0,4700000,10800000,8,527,0,34800000
2496,3,0,1,3200000,11100000,6,708,1,24200000
2497,2,0,0,1700000,4200000,14,829,1,8000000
2498,1,0,0,2600000,8100000,12,854,1,18400000
2499,3,0,1,2700000,6700000,14,899,1,14600000
2500,0,0,1,3600000,13400000,6,589,1,18800000
2501,4,1,1,7200000,26000000,6,571,1,31500000
2502,2,0,1,2500000,6400000,6,708,1,20500000
2503,2,0,0,5500000,19600000,16,328,0,21800000
2504,3,1,1,9200000,33500000,8,564,1,77200000
2505,3,0,0,9000000,19000000,8,693,1,59600000
2506,4,0,1,5900000,15000000,14,626,1,46800000
2507,4,1,0,5600000,15600000,12,470,0,42200000
2508,2,0,1,3200000,12500000,8,849,1,20500000
2509,5,0,0,9100000,27800000,16,547,0,70200000
2510,0,0,1,4600000,15100000,2,417,1,27900000
2511,4,1,0,7300000,14900000,2,358,0,53600000
2512,5,0,1,1300000,3100000,16,826,1,8400000
2513,0,0,0,1800000,4200000,6,836,1,12000000
2514,3,1,0,500000,1700000,10,509,0,2400000
2515,2,0,1,5700000,20500000,20,581,1,42900000
2516,4,1,0,300000,1100000,4,359,1,1300000
2517,5,1,1,2100000,7100000,10,517,0,10900000
2518,1,0,1,5700000,20100000,14,442,0,43400000
2519,1,0,1,1100000,2700000,16,346,0,5200000
2520,5,1,0,9300000,34000000,6,742,1,45800000
2521,1,1,1,3500000,8100000,10,626,1,22700000
2522,0,0,1,8200000,28800000,4,619,1,39400000
2523,2,0,1,7500000,17900000,20,734,1,42500000
2524,1,1,1,7000000,25600000,6,420,0,50600000
2525,5,0,1,3900000,8300000,18,600,1,20500000
2526,3,1,1,4700000,13200000,12,440,0,28200000
2527,5,0,1,1700000,5200000,16,820,1,7900000
2528,0,1,0,2500000,7800000,8,437,0,14900000
2529,1,0,1,400000,1400000,12,468,0,2600000
2530,0,0,1,2400000,9100000,8,368,0,11300000
2531,4,1,0,5700000,21900000,2,871,1,25400000
2532,1,1,0,9800000,37900000,4,816,1,68600000
2533,5,1,0,9000000,32800000,4,773,1,45100000
2534,3,0,0,800000,3000000,14,576,1,5500000
2535,1,1,0,1600000,4500000,14,673,1,9600000
2536,0,1,1,9800000,34100000,20,760,1,77900000
2537,5,0,1,2900000,7500000,12,678,1,21000000
2538,4,0,1,3900000,12000000,14,893,1,28800000
2539,0,1,1,3300000,9000000,18,754,1,21600000
2540,3,1,1,700000,2200000,8,617,1,5300000
2541,3,0,1,8400000,29500000,20,661,1,57800000
2542,1,1,1,4000000,12100000,12,356,0,33600000
2543,0,0,1,1900000,6300000,16,811,1,8200000
2544,0,0,0,3900000,14600000,2,730,1,33200000
2545,5,0,0,7400000,18000000,2,792,1,39900000
2546,5,0,1,5900000,16000000,6,798,1,36300000
2547,2,0,0,1400000,2900000,12,490,0,9000000
2548,2,1,1,1800000,5500000,6,448,0,10100000
2549,0,1,1,1000000,3100000,6,525,0,7800000
2550,1,1,0,7400000,19200000,20,415,0,43200000
2551,5,1,0,2700000,10600000,16,496,0,15800000
2552,1,0,1,3600000,13100000,8,543,0,15600000
2553,5,1,0,7000000,18400000,12,520,0,37400000
2554,4,0,1,5000000,18000000,14,307,0,27000000
2555,2,1,0,1800000,5700000,14,502,0,8200000
2556,2,1,1,4700000,12000000,6,505,0,27500000
2557,2,0,1,6700000,23100000,4,304,1,55800000
2558,5,0,0,5800000,17500000,10,719,1,23200000
2559,0,1,1,5900000,22700000,18,855,1,38200000
2560,4,0,0,6000000,15800000,18,593,1,31200000
2561,1,0,1,700000,1400000,10,523,0,4300000
2562,0,0,1,3700000,13100000,14,385,0,31500000
2563,0,1,1,7100000,19300000,6,783,1,35500000
2564,5,1,1,1100000,3900000,2,538,1,7600000
2565,3,0,1,9500000,20100000,2,506,0,61300000
2566,4,0,1,2200000,8600000,2,461,1,11200000
2567,4,0,1,5500000,20000000,8,666,1,34400000
2568,3,0,1,4400000,16300000,20,561,1,29500000
2569,5,0,0,5000000,10800000,10,345,0,37700000
2570,4,0,1,6100000,12500000,14,862,1,41500000
2571,3,0,0,8100000,22300000,10,686,1,54500000
2572,4,1,1,7000000,19600000,8,708,1,49000000
2573,4,0,0,5600000,14800000,20,656,1,36900000
2574,4,1,0,1800000,7000000,14,743,1,9600000
2575,2,1,0,3600000,12100000,14,408,0,32700000
2576,5,1,0,600000,1300000,14,408,0,3800000
2577,1,1,1,4900000,16500000,12,439,0,26400000
2578,3,1,1,3000000,7100000,6,415,0,19700000
2579,0,0,1,3800000,10600000,12,490,0,27300000
2580,1,1,1,7600000,30000000,16,884,1,44900000
2581,4,1,0,7800000,25400000,18,425,0,54700000
2582,0,1,0,6800000,21700000,20,730,1,41000000
2583,4,1,1,5900000,17300000,20,657,1,24200000
2584,2,0,0,4900000,16800000,10,480,0,26400000
2585,3,0,1,1100000,3100000,16,356,0,6000000
2586,1,0,1,9800000,36000000,12,629,1,73100000
2587,1,1,1,1200000,4700000,2,667,1,6400000
2588,0,0,0,4700000,11500000,18,559,1,28800000
2589,4,1,0,6700000,16000000,4,791,1,38900000
2590,0,0,1,3700000,11300000,6,538,0,22400000
2591,2,1,0,7400000,16000000,20,358,0,53300000
2592,2,0,0,3300000,11700000,14,439,0,20300000
2593,2,1,1,4800000,15300000,12,503,0,23600000
2594,4,1,1,4600000,11900000,6,810,1,42100000
2595,1,1,1,8000000,30600000,14,302,0,56500000
2596,0,0,0,4100000,8800000,18,300,0,29400000
2597,4,0,0,2600000,7200000,16,612,1,9500000
2598,3,0,0,1300000,5000000,6,686,1,9700000
2599,0,1,1,2300000,4900000,12,409,0,13600000
2600,5,1,0,300000,900000,6,492,0,2200000
2601,0,1,1,7000000,21700000,20,498,0,30700000
2602,3,0,1,4400000,10900000,18,611,1,26700000
2603,5,0,1,5100000,11800000,6,776,1,22900000
2604,1,0,0,5900000,13000000,6,779,1,42100000
2605,3,1,1,7800000,27200000,16,560,1,42100000
2606,4,1,1,2200000,5100000,6,308,0,15500000
2607,4,0,0,5400000,12600000,18,786,1,30400000
2608,1,0,0,7400000,29100000,8,597,1,40200000
2609,4,1,0,5800000,12000000,12,811,1,35500000
2610,1,1,1,5800000,13000000,12,862,1,35600000
2611,3,0,1,4800000,14200000,12,369,0,20400000
2612,1,0,1,7400000,23900000,4,687,1,63400000
2613,0,0,1,9600000,19600000,12,500,0,70700000
2614,2,0,1,200000,500000,6,746,1,900000
2615,4,0,0,700000,2100000,14,619,1,6000000
2616,2,0,0,7600000,16700000,20,692,1,52000000
2617,1,0,1,1400000,3300000,18,321,0,6100000
2618,2,0,1,3800000,15000000,14,730,1,28000000
2619,3,0,0,2700000,10800000,6,480,0,18200000
2620,2,0,1,5000000,10700000,2,753,1,38800000
2621,4,1,1,9000000,28900000,6,637,1,50300000
2622,3,1,0,3700000,9000000,6,483,0,23200000
2623,4,0,1,300000,1100000,4,315,1,1800000
2624,4,1,0,1800000,4100000,8,777,1,10200000
2625,2,1,0,7900000,17700000,4,402,0,66700000
2626,4,1,1,2100000,7700000,8,493,0,10400000
2627,0,1,1,900000,3100000,4,355,1,5300000
2628,3,1,0,9900000,23600000,18,557,1,59000000
2629,0,0,1,5600000,20000000,20,606,1,35200000
2630,1,0,1,6000000,12200000,16,743,1,34900000
2631,5,0,0,5700000,18400000,4,579,1,38900000
2632,0,1,1,9000000,33100000,20,734,1,44300000
2633,0,1,0,7300000,16100000,2,490,0,41500000
2634,5,1,0,5300000,20500000,16,802,1,43500000
2635,1,0,1,3500000,7400000,16,867,1,18700000
2636,0,0,0,1000000,2200000,12,302,0,7700000
2637,0,0,0,5100000,19900000,12,867,1,32900000
2638,0,1,1,2900000,9900000,8,312,0,21200000
2639,3,0,0,7600000,19100000,14,762,1,60600000
2640,5,0,1,6000000,14700000,18,462,0,42400000
2641,1,1,0,6300000,18200000,18,849,1,30800000
